--------- beginning of /dev/log/system
04-26 13:37:49.320 I/Vold    (   78): Vold 2.1 (the revenge) firing up
04-26 13:37:49.320 D/Vold    (   78): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
04-26 13:37:54.580 D/VoldCmdListener(   78): volume list
--------- beginning of /dev/log/main
04-26 13:37:55.770 D/pskey_bt(  327): buf from pskey file:2048
04-26 13:37:55.770 D/pskey_bt(  327): parser_pskey_info
04-26 13:37:55.770 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.770 D/pskey_bt(  327): get_one_item(data) = 0x0
04-26 13:37:55.770 D/pskey_bt(  327): get_next_u8: here:0
04-26 13:37:55.770 D/pskey_bt(  327): char:1, 1
04-26 13:37:55.770 D/pskey_bt(  327): get_one_item(data) = 0x1
04-26 13:37:55.770 D/pskey_bt(  327): get_next_u8: here:1
04-26 13:37:55.770 D/pskey_bt(  327): char:1, 1
04-26 13:37:55.770 D/pskey_bt(  327): get_one_item(data) = 0x1
04-26 13:37:55.770 D/pskey_bt(  327): get_next_u8: here:1
04-26 13:37:55.770 D/pskey_bt(  327): char:1, 1
04-26 13:37:55.770 D/pskey_bt(  327): get_one_item(data) = 0x1
04-26 13:37:55.770 D/pskey_bt(  327): get_next_u8: here:1
04-26 13:37:55.770 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.780 D/pskey_bt(  327): char:1, 1
04-26 13:37:55.780 D/pskey_bt(  327): char:8, 8
04-26 13:37:55.780 D/pskey_bt(  327): char:C, C
04-26 13:37:55.780 D/pskey_bt(  327): char:B, B
04-26 13:37:55.780 D/pskey_bt(  327): char:A, A
04-26 13:37:55.780 D/pskey_bt(  327): char:8, 8
04-26 13:37:55.780 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.780 D/pskey_bt(  327): get_one_item(data) = 0x18cba80
04-26 13:37:55.780 D/pskey_bt(  327): get_next_u32: here:18cba80
04-26 13:37:55.780 D/pskey_bt(  327): char:1, 1
04-26 13:37:55.780 D/pskey_bt(  327): char:f, f
04-26 13:37:55.780 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.780 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.780 D/pskey_bt(  327): get_one_item(data) = 0x1f00
04-26 13:37:55.780 D/pskey_bt(  327): get_next_u32: here:1f00
04-26 13:37:55.780 D/pskey_bt(  327): char:1, 1
04-26 13:37:55.780 D/pskey_bt(  327): char:E, E
04-26 13:37:55.780 D/pskey_bt(  327): get_one_item(data) = 0x1e
04-26 13:37:55.780 D/pskey_bt(  327): get_next_u32: here:1e
04-26 13:37:55.780 D/pskey_bt(  327): char:7, 7
04-26 13:37:55.780 D/pskey_bt(  327): char:B, B
04-26 13:37:55.780 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.780 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.780 D/pskey_bt(  327): char:7, 7
04-26 13:37:55.780 D/pskey_bt(  327): char:C, C
04-26 13:37:55.780 D/pskey_bt(  327): get_one_item(data) = 0x7b007c
04-26 13:37:55.780 D/pskey_bt(  327): get_next_u32: here:7b007c
04-26 13:37:55.780 D/pskey_bt(  327): char:3, 3
04-26 13:37:55.780 D/pskey_bt(  327): char:7, 7
04-26 13:37:55.780 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.780 D/pskey_bt(  327): char:0, 0
04-26 13:37:55.780 D/pskey_bt(  327): char:7, 7
04-26 13:37:55.780 D/pskey_bt(  327): char:A, A
