--------- beginning of /dev/log/main
04-27 06:40:34.613 I/SprdSimpleOMXComponent(   88): useBuffer, push buffer, buffer=0xa1aea0,header=0xa1b110, pBuffer=0x4114b800
04-27 06:40:34.613 I/SprdSimpleOMXComponent(   88): useBuffer, push buffer, buffer=0xa1aea8,header=0xa1b288, pBuffer=0x4114dc00
04-27 06:40:34.843 I/Gecko   (   83): 
04-27 06:40:34.843 I/Gecko   (   83): ###!!! [Parent][MessageChannel] Error: Channel error: cannot send/recv
04-27 06:40:34.843 I/Gecko   (   83): 
04-27 06:40:35.413 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d080, header: 0xa10218, iRefCount: 0
04-27 06:40:35.413 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d088, header: 0xa0ecb8, iRefCount: 0
04-27 06:40:35.413 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d070, header: 0xa0d5f8, iRefCount: 0
04-27 06:40:35.413 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f5f8, header: 0xa0f8b8, iRefCount: 0
04-27 06:40:35.413 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae98, header: 0xa1af98, iRefCount: 0
04-27 06:40:35.423 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea0, header: 0xa1b110, iRefCount: 0
04-27 06:40:35.423 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d668, header: 0xa0f080, iRefCount: 0
04-27 06:40:35.423 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f600, header: 0xa0fff8, iRefCount: 0
04-27 06:40:35.423 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb58, header: 0xa11868, iRefCount: 0
04-27 06:40:35.423 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a060, header: 0xa19fe8, iRefCount: 0
04-27 06:40:35.433 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d010, header: 0xa10108, iRefCount: 0
04-27 06:40:35.433 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d018, header: 0xa10a70, iRefCount: 0
04-27 06:40:35.433 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d670, header: 0xa0f7a8, iRefCount: 0
04-27 06:40:35.433 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d000, header: 0xa0f2a0, iRefCount: 0
04-27 06:40:35.433 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f608, header: 0xa10750, iRefCount: 0
04-27 06:40:35.453 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea8, header: 0xa1b288, iRefCount: 0
04-27 06:40:35.453 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae90, header: 0xa1ae28, iRefCount: 0
04-27 06:40:35.453 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae98, header: 0xa1af98, iRefCount: 0
04-27 06:40:35.453 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a068, header: 0xa1a168, iRefCount: 0
04-27 06:40:35.463 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb40, header: 0xa0f580, iRefCount: 0
04-27 06:40:35.463 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f5f0, header: 0xa0f190, iRefCount: 0
04-27 06:40:35.463 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb48, header: 0xa0fdd8, iRefCount: 0
04-27 06:40:35.463 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb50, header: 0xa10530, iRefCount: 0
04-27 06:40:35.463 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb58, header: 0xa11868, iRefCount: 0
04-27 06:40:35.463 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f5f8, header: 0xa0f8b8, iRefCount: 0
04-27 06:40:35.463 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a070, header: 0xa1a2e0, iRefCount: 0
04-27 06:40:35.463 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d678, header: 0xa0fee8, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d680, header: 0xa10640, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d668, header: 0xa0f080, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d670, header: 0xa0f7a8, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea0, header: 0xa1b110, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea8, header: 0xa1b288, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae90, header: 0xa1ae28, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a078, header: 0xa1a458, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d078, header: 0xa0fad8, iRefCount: 0
04-27 06:40:35.473 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d080, header: 0xa10218, iRefCount: 0
04-27 06:40:35.483 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d008, header: 0xa0f9c8, iRefCount: 0
04-27 06:40:35.483 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d010, header: 0xa10108, iRefCount: 0
04-27 06:40:35.483 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d018, header: 0xa10a70, iRefCount: 0
04-27 06:40:35.483 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d000, header: 0xa0f2a0, iRefCount: 0
04-27 06:40:35.483 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f600, header: 0xa0fff8, iRefCount: 0
04-27 06:40:35.493 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a060, header: 0xa19fe8, iRefCount: 0
04-27 06:40:35.493 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f608, header: 0xa10750, iRefCount: 0
04-27 06:40:35.493 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb40, header: 0xa0f580, iRefCount: 0
04-27 06:40:35.503 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1ae98, header: 0xa1af98, iRefCount: 0
04-27 06:40:35.503 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a068, header: 0xa1a168, iRefCount: 0
04-27 06:40:35.503 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d678, header: 0xa0fee8, iRefCount: 0
04-27 06:40:35.503 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb48, header: 0xa0fdd8, iRefCount: 0
04-27 06:40:35.503 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f5f0, header: 0xa0f190, iRefCount: 0
04-27 06:40:35.503 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d008, header: 0xa0f9c8, iRefCount: 0
04-27 06:40:35.513 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a070, header: 0xa1a2e0, iRefCount: 0
04-27 06:40:35.513 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d010, header: 0xa10108, iRefCount: 0
04-27 06:40:35.513 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d680, header: 0xa10640, iRefCount: 0
04-27 06:40:35.513 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f5f8, header: 0xa0f8b8, iRefCount: 0
04-27 06:40:35.513 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea0, header: 0xa1b110, iRefCount: 0
04-27 06:40:35.513 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1aea8, header: 0xa1b288, iRefCount: 0
04-27 06:40:35.523 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb50, header: 0xa10530, iRefCount: 0
04-27 06:40:35.523 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a078, header: 0xa1a458, iRefCount: 0
04-27 06:40:35.523 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d018, header: 0xa10a70, iRefCount: 0
04-27 06:40:35.533 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d668, header: 0xa0f080, iRefCount: 0
04-27 06:40:35.533 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0d000, header: 0xa0f2a0, iRefCount: 0
04-27 06:40:35.543 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0f600, header: 0xa0fff8, iRefCount: 0
04-27 06:40:35.543 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa0fb58, header: 0xa11868, iRefCount: 0
04-27 06:40:35.543 I/SprdSimpleOMXComponent(   88): fillThisBuffer, buffer: 0xa1a060, header: 0xa19fe8, iRefCount: 0
