--------- beginning of /dev/log/system
12-31 21:55:06.230 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 21:55:06.230 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 21:55:06.320 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 21:55:06.320 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 21:55:11.270 D/VoldCmdListener(   75): volume list
12-31 21:55:11.280 D/VoldCmdListener(   75): volume mount sdcard
12-31 21:55:11.280 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 21:55:11.280 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 21:55:11.280 W/Vold    (   75): Skipping fs checks
12-31 21:55:11.330 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 21:55:11.330 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 34
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 32
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
12-31 21:55:22.790 D/SPRDENG (  150): 30
