--------- beginning of /dev/log/system
01-01 02:50:12.830 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 02:50:12.860 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 02:50:12.940 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 02:50:12.940 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 02:50:17.840 D/VoldCmdListener(   75): volume list
01-01 02:50:17.850 D/VoldCmdListener(   75): volume mount sdcard
01-01 02:50:17.850 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 02:50:17.850 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 02:50:17.850 W/Vold    (   75): Skipping fs checks
01-01 02:50:17.900 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 02:50:17.910 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 34
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 36
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 34
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 36
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 33
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 33
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 32
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 62
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 31
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 32
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 31
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 63
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 34
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 31
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 63
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 64
01-01 02:50:29.060 D/SPRDENG (  160): 39
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 63
01-01 02:50:29.060 D/SPRDENG (  160): 39
01-01 02:50:29.060 D/SPRDENG (  160): 64
01-01 02:50:29.060 D/SPRDENG (  160): 61
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 35
01-01 02:50:29.060 D/SPRDENG (  160): 63
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 65
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 36
01-01 02:50:29.060 D/SPRDENG (  160): 34
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 66
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 36
01-01 02:50:29.060 D/SPRDENG (  160): 34
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 33
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 36
01-01 02:50:29.060 D/SPRDENG (  160): 34
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 34
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 37
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 36
01-01 02:50:29.060 D/SPRDENG (  160): 34
01-01 02:50:29.060 D/SPRDENG (  160): 38
01-01 02:50:29.060 D/SPRDENG (  160): 63
01-01 02:50:29.060 D/SPRDENG (  160): 39
01-01 02:50:29.060 D/SPRDENG (  160): 30
01-01 02:50:29.070 D/SPRDENG (  160): 37
01-01 02:50:29.070 D/SPRDENG (  160): 38
01-01 02:50:29.070 D/SPRDENG (  160): 36
01-01 02:50:29.070 D/SPRDENG (  160): 34
01-01 02:50:29.070 D/SPRDENG (  160): 39
01-01 02:50:29.070 D/SPRDENG (  160): 34
01-01 02:50:29.070 D/SPRDENG (  160): 61
01-01 02:50:29.070 D/SPRDENG (  160): 30
01-01 02:50:29.070 D/SPRDENG (  160): 37
01-01 02:50:29.070 D/SPRDENG (  160): 38
01-01 02:50:29.070 D/SPRDENG (  160): 36
01-01 02:50:29.070 D/SPRDENG (  160): 34
01-01 02:50:29.070 D/SPRDENG (  160): 37
01-01 02:50:29.070 D/SPRDENG (  160): 66
01-01 02:50:29.070 D/SPRDENG (  160): 37
01-01 02:50:29.070 D/SPRDENG (  160): 66
01-01 02:50:29.070 D/SPRDENG (  160): 37
01-01 02:50:29.070 D/SPRDENG (  160): 63
