--------- beginning of /dev/log/system
12-31 23:45:08.440 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 23:45:08.440 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 23:45:08.530 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 23:45:08.530 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 23:45:13.590 D/VoldCmdListener(   75): volume list
12-31 23:45:13.600 D/VoldCmdListener(   75): volume mount sdcard
12-31 23:45:13.600 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 23:45:13.600 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 23:45:13.600 W/Vold    (   75): Skipping fs checks
12-31 23:45:13.650 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 23:45:13.650 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 33
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 33
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 33
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 32
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 39
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 31
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 39
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 39
12-31 23:45:24.830 D/SPRDENG (  154): 39
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 61
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 32
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 39
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 35
12-31 23:45:24.830 D/SPRDENG (  154): 39
12-31 23:45:24.830 D/SPRDENG (  154): 65
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 34
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 36
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 66
12-31 23:45:24.830 D/SPRDENG (  154): 38
12-31 23:45:24.830 D/SPRDENG (  154): 30
12-31 23:45:24.830 D/SPRDENG (  154): 37
12-31 23:45:24.830 D/SPRDENG (  154): 63
12-31 23:45:24.830 D/SPRDENG (  154): 36
