--------- beginning of /dev/log/system
01-01 12:17:05.680 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 12:17:05.680 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 12:17:05.760 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 12:17:05.760 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 12:17:10.880 D/VoldCmdListener(   75): volume list
01-01 12:17:10.890 D/VoldCmdListener(   75): volume mount sdcard
01-01 12:17:10.890 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 12:17:10.890 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 12:17:10.890 W/Vold    (   75): Skipping fs checks
01-01 12:17:10.940 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 12:17:10.940 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 31
01-01 12:17:22.010 D/SPRDENG (  163): 35
01-01 12:17:22.010 D/SPRDENG (  163): 63
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 33
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 31
01-01 12:17:22.010 D/SPRDENG (  163): 35
01-01 12:17:22.010 D/SPRDENG (  163): 63
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 61
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 31
01-01 12:17:22.010 D/SPRDENG (  163): 35
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 63
01-01 12:17:22.010 D/SPRDENG (  163): 39
01-01 12:17:22.010 D/SPRDENG (  163): 32
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 31
01-01 12:17:22.010 D/SPRDENG (  163): 35
01-01 12:17:22.010 D/SPRDENG (  163): 62
01-01 12:17:22.010 D/SPRDENG (  163): 39
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 62
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 35
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 64
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 66
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 32
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 65
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 31
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 63
01-01 12:17:22.010 D/SPRDENG (  163): 39
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 32
01-01 12:17:22.010 D/SPRDENG (  163): 39
01-01 12:17:22.010 D/SPRDENG (  163): 61
01-01 12:17:22.010 D/SPRDENG (  163): 61
01-01 12:17:22.010 D/SPRDENG (  163): 30
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 38
01-01 12:17:22.010 D/SPRDENG (  163): 36
01-01 12:17:22.010 D/SPRDENG (  163): 34
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 65
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.010 D/SPRDENG (  163): 65
01-01 12:17:22.010 D/SPRDENG (  163): 37
01-01 12:17:22.020 D/SPRDENG (  163): 63
01-01 12:17:22.020 D/SPRDENG (  163): 36
01-01 12:17:22.020 D/SPRDENG (  163): 38
01-01 12:17:22.020 D/SPRDENG (  163): 37
01-01 12:17:22.020 D/SPRDENG (  163): 66
01-01 12:17:22.020 D/SPRDENG (  163): 38
01-01 12:17:22.020 D/SPRDENG (  163): 30
01-01 12:17:22.020 D/SPRDENG (  163): 37
01-01 12:17:22.020 D/SPRDENG (  163): 63
01-01 12:17:22.020 D/SPRDENG (  163): 36
