--------- beginning of /dev/log/system
01-01 00:52:16.590 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 00:52:16.590 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:52:16.700 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 00:52:16.700 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 00:52:21.710 D/VoldCmdListener(   75): volume list
01-01 00:52:21.720 D/VoldCmdListener(   75): volume mount sdcard
01-01 00:52:21.720 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 00:52:21.720 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 00:52:21.720 W/Vold    (   75): Skipping fs checks
01-01 00:52:21.770 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 00:52:21.770 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 62
01-01 00:52:33.130 D/SPRDENG (  167): 62
01-01 00:52:33.130 D/SPRDENG (  167): 62
01-01 00:52:33.130 D/SPRDENG (  167): 65
01-01 00:52:33.130 D/SPRDENG (  167): 63
01-01 00:52:33.130 D/SPRDENG (  167): 32
01-01 00:52:33.130 D/SPRDENG (  167): 63
01-01 00:52:33.130 D/SPRDENG (  167): 36
01-01 00:52:33.130 D/SPRDENG (  167): 31
01-01 00:52:33.130 D/SPRDENG (  167): 61
01-01 00:52:33.130 D/SPRDENG (  167): 32
01-01 00:52:33.130 D/SPRDENG (  167): 33
01-01 00:52:33.130 D/SPRDENG (  167): 31
01-01 00:52:33.130 D/SPRDENG (  167): 63
01-01 00:52:33.130 D/SPRDENG (  167): 32
01-01 00:52:33.130 D/SPRDENG (  167): 33
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 31
01-01 00:52:33.130 D/SPRDENG (  167): 61
01-01 00:52:33.130 D/SPRDENG (  167): 32
01-01 00:52:33.130 D/SPRDENG (  167): 33
01-01 00:52:33.130 D/SPRDENG (  167): 31
01-01 00:52:33.130 D/SPRDENG (  167): 63
01-01 00:52:33.130 D/SPRDENG (  167): 32
01-01 00:52:33.130 D/SPRDENG (  167): 33
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 30
01-01 00:52:33.130 D/SPRDENG (  167): 31
01-01 00:52:33.130 D/SPRDENG (  167): 62
01-01 00:52:33.130 D/SPRDENG (  167): 32
01-01 00:52:33.130 D/SPRDENG (  167): 33
01-01 00:52:33.130 D/SPRDENG (  167): 31
01-01 00:52:33.130 D/SPRDENG (  167): 63
01-01 00:52:33.130 D/SPRDENG (  167): 32
01-01 00:52:33.130 D/SPRDENG (  167): 33
