--------- beginning of /dev/log/system
01-01 12:16:19.970 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 12:16:20.050 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 12:16:20.070 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 12:16:20.080 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 12:16:24.930 D/VoldCmdListener(   75): volume list
01-01 12:16:24.940 D/VoldCmdListener(   75): volume mount sdcard
01-01 12:16:24.940 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 12:16:24.940 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 12:16:24.940 W/Vold    (   75): Skipping fs checks
01-01 12:16:24.990 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 12:16:25.000 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 12:16:36.110 D/SPRDENG (  159): 64
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 30
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 30
01-01 12:16:36.110 D/SPRDENG (  159): 35
01-01 12:16:36.110 D/SPRDENG (  159): 34
01-01 12:16:36.110 D/SPRDENG (  159): 61
01-01 12:16:36.110 D/SPRDENG (  159): 32
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 32
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 37
01-01 12:16:36.110 D/SPRDENG (  159): 65
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 35
01-01 12:16:36.110 D/SPRDENG (  159): 37
01-01 12:16:36.110 D/SPRDENG (  159): 61
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 30
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 30
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 66
01-01 12:16:36.110 D/SPRDENG (  159): 37
01-01 12:16:36.110 D/SPRDENG (  159): 63
01-01 12:16:36.110 D/SPRDENG (  159): 37
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 30
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 33
01-01 12:16:36.110 D/SPRDENG (  159): 37
01-01 12:16:36.110 D/SPRDENG (  159): 65
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 61
01-01 12:16:36.110 D/SPRDENG (  159): 61
01-01 12:16:36.110 D/SPRDENG (  159): 30
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 37
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 61
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 37
01-01 12:16:36.110 D/SPRDENG (  159): 38
01-01 12:16:36.110 D/SPRDENG (  159): 30
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 62
01-01 12:16:36.110 D/SPRDENG (  159): 62
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 61
01-01 12:16:36.110 D/SPRDENG (  159): 30
01-01 12:16:36.110 D/SPRDENG (  159): 37
01-01 12:16:36.110 D/SPRDENG (  159): 63
01-01 12:16:36.110 D/SPRDENG (  159): 36
01-01 12:16:36.110 D/SPRDENG (  159): 62
01-01 12:16:36.110 D/SPRDENG (  159): 1a
01-01 12:16:36.110 D/SPRDENG (  159): eng_modem2server: use SIM1 /dev/CHNPTY13
