--------- beginning of /dev/log/system
12-31 22:39:49.510 I/Vold    (   75): Vold 2.1 (the revenge) firing up
12-31 22:39:49.510 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
12-31 22:39:49.640 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
12-31 22:39:49.660 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
12-31 22:39:54.540 D/VoldCmdListener(   75): volume list
12-31 22:39:54.550 D/VoldCmdListener(   75): volume mount sdcard
12-31 22:39:54.550 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
12-31 22:39:54.550 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
12-31 22:39:54.550 W/Vold    (   75): Skipping fs checks
12-31 22:39:54.600 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
12-31 22:39:54.600 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
12-31 22:40:06.050 D/SPRDENG (  163): 30
